State,Date,Hourly Demand Met (in MW),
Uttar Pradesh - 2024,12-Jan 4am,11983.48,
Uttar Pradesh - 2024,12-Jan 5am,12653.09,
Uttar Pradesh - 2024,12-Jan 6am,12581.24,
Uttar Pradesh - 2024,12-Jan 7am,13251.94,
Uttar Pradesh - 2024,12-Jan 8am,15528.27,
Uttar Pradesh - 2024,12-Jan 9am,17466.9,
Uttar Pradesh - 2024,12-Jan 10am,18651.25,
Uttar Pradesh - 2024,12-Jan 11am,19489.1,
Uttar Pradesh - 2024,12-Jan 12pm,19150.87,
Uttar Pradesh - 2024,12-Jan 1pm,17647.45,
Uttar Pradesh - 2024,12-Jan 2pm,15327.06,
Uttar Pradesh - 2024,12-Jan 3pm,13586.07,
Uttar Pradesh - 2024,12-Jan 4pm,13229.12,
Uttar Pradesh - 2024,12-Jan 5pm,16910.38,
Uttar Pradesh - 2024,12-Jan 6pm,20907.95,
Uttar Pradesh - 2024,12-Jan 7pm,21464.4,
Uttar Pradesh - 2024,12-Jan 8pm,20667.85,
Uttar Pradesh - 2024,12-Jan 9pm,18996.12,
Uttar Pradesh - 2024,12-Jan 10pm,16798.49,
Uttar Pradesh - 2024,12-Jan 11pm,15020.01,
Uttar Pradesh - 2024,13-Jan 12am,13640.63,
Uttar Pradesh - 2024,13-Jan 1am,12525.96,
Uttar Pradesh - 2024,13-Jan 2am,11716.61,
Uttar Pradesh - 2024,13-Jan 3am,11488.43,
Uttar Pradesh - 2024,13-Jan 4am,11807.99,
Uttar Pradesh - 2024,13-Jan 5am,12115.57,
Uttar Pradesh - 2024,13-Jan 6am,11594.29,
Uttar Pradesh - 2024,13-Jan 7am,13150.39,
Uttar Pradesh - 2024,13-Jan 8am,16016.68,
Uttar Pradesh - 2024,13-Jan 9am,17930.57,
Uttar Pradesh - 2024,13-Jan 10am,18225.82,
Uttar Pradesh - 2024,13-Jan 11am,18282,
Uttar Pradesh - 2024,13-Jan 12pm,17551.83,
Uttar Pradesh - 2024,13-Jan 1pm,17075.45,
Uttar Pradesh - 2024,13-Jan 2pm,15705.47,
Uttar Pradesh - 2024,13-Jan 3pm,14274.16,
Uttar Pradesh - 2024,13-Jan 4pm,13303.26,
Uttar Pradesh - 2024,13-Jan 5pm,16389.75,
Uttar Pradesh - 2024,13-Jan 6pm,19360.17,
Uttar Pradesh - 2024,13-Jan 7pm,19910.27,
Uttar Pradesh - 2024,13-Jan 8pm,19842.65,
Uttar Pradesh - 2024,13-Jan 9pm,18705.32,
Uttar Pradesh - 2024,13-Jan 10pm,16670.69,
Uttar Pradesh - 2024,13-Jan 11pm,14600.07,
Uttar Pradesh - 2024,14-Jan 12am,13137.67,
Uttar Pradesh - 2024,14-Jan 1am,12246.22,
Uttar Pradesh - 2024,14-Jan 2am,11705,
Uttar Pradesh - 2024,14-Jan 3am,11496.75,
Uttar Pradesh - 2024,14-Jan 4am,11978.36,
Uttar Pradesh - 2024,14-Jan 5am,12516.05,
Uttar Pradesh - 2024,14-Jan 6am,12153.1,
Uttar Pradesh - 2024,14-Jan 7am,13082.89,
Uttar Pradesh - 2024,14-Jan 8am,15202.29,
Uttar Pradesh - 2024,14-Jan 9am,16886.59,
Uttar Pradesh - 2024,14-Jan 10am,18184.5,
Uttar Pradesh - 2024,14-Jan 11am,18194.75,
Uttar Pradesh - 2024,14-Jan 12pm,17481.92,
Uttar Pradesh - 2024,14-Jan 1pm,15994.72,
Uttar Pradesh - 2024,14-Jan 2pm,14940.61,
Uttar Pradesh - 2024,14-Jan 3pm,13236.22,
Uttar Pradesh - 2024,14-Jan 4pm,12918.23,
Uttar Pradesh - 2024,14-Jan 5pm,16437.03,
